"DateTime";"Laveste";"Højeste";"Middel"
"2014-01-01 00:00:00";2,8;4,9;3,9
"2014-01-02 00:00:00";3,3;5,8;4,6
"2014-01-03 00:00:00";4,6;7,1;6,2
"2014-01-04 00:00:00";4,5;7,5;6,1
"2014-01-05 00:00:00";2,7;6,4;5,1
"2014-01-06 00:00:00";2,6;7,3;5
"2014-01-07 00:00:00";6,2;9,9;8,3
"2014-01-08 00:00:00";6,1;9,2;8
"2014-01-09 00:00:00";4;9,3;6,9
"2014-01-10 00:00:00";4;6,9;6
"2014-01-11 00:00:00";3,8;7,2;5,8
"2014-01-12 00:00:00";-2,3;6,1;3,1
"2014-01-13 00:00:00";-3,8;4,2;-0,6
"2014-01-14 00:00:00";1,4;4,8;3,5
"2014-01-15 00:00:00";1,9;3,6;2,9
"2014-01-16 00:00:00";0,3;3,1;1,5
"2014-01-17 00:00:00";0,3;1,9;1,1
"2014-01-18 00:00:00";0,3;2,2;1,4
"2014-01-19 00:00:00";0,8;2;1,4
"2014-01-20 00:00:00";0,3;1,8;1,2
"2014-01-21 00:00:00";-0,2;1,4;0,7
"2014-01-22 00:00:00";-1,7;1,3;-0,4
"2014-01-23 00:00:00";-2,9;0,5;-1,1
"2014-01-24 00:00:00";-4,2;-1;-2,6
"2014-01-25 00:00:00";-5,6;-2,8;-3,9
"2014-01-26 00:00:00";-6,7;-2,9;-4,9
"2014-01-27 00:00:00";-6,1;-1,1;-2,8
"2014-01-28 00:00:00";-2,4;0,2;-0,9
"2014-01-29 00:00:00";-5,1;-2;-3,7
"2014-01-30 00:00:00";-4,4;-1,6;-3,2
"2014-01-31 00:00:00";-3;-0,3;-2
