"DateTime";"Laveste";"Højeste";"Middel"
"2015-03-01 00:00:00";1,1;6,2;3,6
"2015-03-02 00:00:00";0,7;6,3;3,8
"2015-03-03 00:00:00";0,7;7,5;3,5
"2015-03-04 00:00:00";0,3;5,8;2,5
"2015-03-05 00:00:00";-0,9;8,3;3,7
"2015-03-06 00:00:00";3,6;7,7;5,8
"2015-03-07 00:00:00";4,3;8,8;6,9
"2015-03-08 00:00:00";3,8;13,3;8,6
"2015-03-09 00:00:00";3,5;12,4;7,1
"2015-03-10 00:00:00";3,7;11,4;6,9
"2015-03-11 00:00:00";2,5;12,4;6,8
"2015-03-12 00:00:00";-0,9;8,3;3,1
"2015-03-13 00:00:00";-0,1;8;3,7
"2015-03-14 00:00:00";1,1;8,9;4,7
"2015-03-15 00:00:00";2,1;7;4,6
"2015-03-16 00:00:00";4,1;12;6,6
"2015-03-17 00:00:00";3,8;12,1;7,3
"2015-03-18 00:00:00";2,7;11,1;7,3
"2015-03-19 00:00:00";0,4;12,5;6
"2015-03-20 00:00:00";-1;7,6;4,2
"2015-03-21 00:00:00";-0,8;5,1;3
"2015-03-22 00:00:00";-3,6;4,7;1,4
"2015-03-23 00:00:00";1,1;9,1;4,6
"2015-03-24 00:00:00";2,2;7,8;5,2
"2015-03-25 00:00:00";1,5;8,2;4,8
"2015-03-26 00:00:00";1,3;8;5,4
"2015-03-27 00:00:00";0,9;7,7;4,8
"2015-03-28 00:00:00";0,8;8,6;5
"2015-03-29 00:00:00";4,8;10,7;7,2
"2015-03-30 00:00:00";3,4;9,5;5,8
"2015-03-31 00:00:00";0,9;4,6;2,7
