"DateTime";"Laveste";"Højeste";"Middel"
"2016-11-01 00:00:00";7,4;12;9,9
"2016-11-02 00:00:00";2,1;8,5;5,1
"2016-11-03 00:00:00";-1;7,2;3,7
"2016-11-04 00:00:00";4,3;8,3;7
"2016-11-05 00:00:00";5,3;8,4;7
"2016-11-06 00:00:00";1;6,5;4,2
"2016-11-07 00:00:00";-1,6;2,6;0,4
"2016-11-08 00:00:00";-4,2;1,7;-1,1
"2016-11-09 00:00:00";-1,4;4,2;1,7
"2016-11-10 00:00:00";-1,2;3;1,5
"2016-11-11 00:00:00";-3,8;3,7;1,1
"2016-11-12 00:00:00";-5,6;5,7;-0,1
"2016-11-13 00:00:00";-3,9;4,8;1,5
"2016-11-14 00:00:00";-0,6;4,8;2,5
"2016-11-15 00:00:00";2,6;9,9;5,8
"2016-11-16 00:00:00";1,7;8,9;6,2
"2016-11-17 00:00:00";4,6;8,2;6,5
"2016-11-18 00:00:00";4;8,7;7
"2016-11-19 00:00:00";3,2;7,9;5,7
"2016-11-20 00:00:00";3,2;11,3;6,7
"2016-11-21 00:00:00";8,2;11,2;9,5
"2016-11-22 00:00:00";5,3;10,5;8,8
"2016-11-23 00:00:00";4,1;11,9;8,5
"2016-11-24 00:00:00";0,1;8;5
"2016-11-25 00:00:00";1,7;7,1;5,6
"2016-11-26 00:00:00";4,3;10,3;7
"2016-11-27 00:00:00";1,8;6,6;4,6
"2016-11-28 00:00:00";-3,2;2,8;0,8
"2016-11-29 00:00:00";-0,2;6,5;4,2
"2016-11-30 00:00:00";5,2;7,2;6,3
