"DateTime";"Laveste";"Højeste";"Middel"
"2017-12-01 00:00:00";-1,5;4,1;2,5
"2017-12-02 00:00:00";-3,2;4,1;1,7
"2017-12-03 00:00:00";1,5;6,6;4,2
"2017-12-04 00:00:00";0,4;6;2,6
"2017-12-05 00:00:00";1,4;9,4;7,1
"2017-12-06 00:00:00";6,9;9,2;8,3
"2017-12-07 00:00:00";5;9,1;6,9
"2017-12-08 00:00:00";2;6,3;4,2
"2017-12-09 00:00:00";0,7;5,6;3,3
"2017-12-10 00:00:00";0;2,7;1,7
"2017-12-11 00:00:00";0,1;2,4;1,5
"2017-12-12 00:00:00";0,2;2,7;1,3
"2017-12-13 00:00:00";1,5;3,8;2,9
"2017-12-14 00:00:00";0,7;5,2;3,1
"2017-12-15 00:00:00";1;4,5;3,1
"2017-12-16 00:00:00";-1,3;3,2;1,4
"2017-12-17 00:00:00";-1,7;2;0,5
"2017-12-18 00:00:00";-0,1;3,4;2,2
"2017-12-19 00:00:00";1,6;4,5;3,3
"2017-12-20 00:00:00";0,9;7,5;4,7
"2017-12-21 00:00:00";3,7;7,8;5,8
"2017-12-22 00:00:00";3,5;6,3;5
"2017-12-23 00:00:00";4,7;10,6;8,5
"2017-12-24 00:00:00";8;10,6;9,1
"2017-12-25 00:00:00";6,8;9,4;8,3
"2017-12-26 00:00:00";3,8;7,4;5,8
"2017-12-27 00:00:00";2,7;5,7;4,7
"2017-12-28 00:00:00";2,3;5,3;4,3
"2017-12-29 00:00:00";1,3;5,4;3,8
"2017-12-30 00:00:00";0,4;4,5;2,9
"2017-12-31 00:00:00";0,5;8;4,5
