"DateTime";"Laveste";"Højeste";"Middel"
"2018-10-01 00:00:00";5,1;14,3;9,9
"2018-10-02 00:00:00";5,4;12,4;8,9
"2018-10-03 00:00:00";7,4;13,6;10,3
"2018-10-04 00:00:00";5,2;14,7;10,6
"2018-10-05 00:00:00";12,4;15,5;14
"2018-10-06 00:00:00";7,9;16,5;12,3
"2018-10-07 00:00:00";6,1;13,9;9,4
"2018-10-08 00:00:00";7,3;13,6;11,3
"2018-10-09 00:00:00";10,6;17;13,2
"2018-10-10 00:00:00";7,1;19,3;13,4
"2018-10-11 00:00:00";11,1;19,2;15,1
"2018-10-12 00:00:00";11;18,1;14,5
"2018-10-13 00:00:00";10,8;20,4;15,4
"2018-10-14 00:00:00";11,3;17,6;15,2
"2018-10-15 00:00:00";10,2;18;14,1
"2018-10-16 00:00:00";9,1;19,9;13,9
"2018-10-17 00:00:00";8,4;18,6;12,9
"2018-10-18 00:00:00";5,3;15,7;11,6
"2018-10-19 00:00:00";2,9;13,8;8,5
"2018-10-20 00:00:00";4,9;14,2;9,9
"2018-10-21 00:00:00";4,6;14,7;10,8
"2018-10-22 00:00:00";6,8;13,8;10,5
"2018-10-23 00:00:00";7,6;13;10,6
"2018-10-24 00:00:00";4;11,5;8
"2018-10-25 00:00:00";6,9;12,6;10,6
"2018-10-26 00:00:00";4,9;11,2;8,6
"2018-10-27 00:00:00";2,6;8,6;5,2
"2018-10-28 00:00:00";0,5;4,5;2,9
"2018-10-29 00:00:00";2,2;7,1;4,7
"2018-10-30 00:00:00";5,7;15;10
"2018-10-31 00:00:00";5,8;11,7;8,6
